 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+03  1.53227546e-06  1.58210100e-08 
 2.37137371e+03  1.52294114e-06  1.57296954e-08 
 2.44061907e+03  1.51379693e-06  1.56405818e-08 
 2.51188643e+03  1.50483662e-06  1.55536192e-08 
 2.58523484e+03  1.49605405e-06  1.54687587e-08 
 2.66072506e+03  1.48744311e-06  1.53859527e-08 
 2.73841963e+03  1.47899772e-06  1.53051550e-08 
 2.81838293e+03  1.47071183e-06  1.52263201e-08 
 2.90068120e+03  1.46257940e-06  1.51494040e-08 
 2.98538262e+03  1.45459439e-06  1.50743634e-08 
 3.07255737e+03  1.44675079e-06  1.50011562e-08 
 3.16227766e+03  1.43904256e-06  1.49297412e-08 
 3.25461783e+03  1.43146363e-06  1.48600782e-08 
 3.34965439e+03  1.42400793e-06  1.47921278e-08 
 3.44746607e+03  1.41666935e-06  1.47258515e-08 
 3.54813389e+03  1.40944173e-06  1.46612116e-08 
 3.65174127e+03  1.40231886e-06  1.45981712e-08 
 3.75837404e+03  1.39529450e-06  1.45366942e-08 
 3.86812055e+03  1.38836230e-06  1.44767454e-08 
 3.98107171e+03  1.38151587e-06  1.44182901e-08 
 4.09732110e+03  1.37474874e-06  1.43612944e-08 
 4.21696503e+03  1.36805434e-06  1.43057252e-08 
 4.34010264e+03  1.36142599e-06  1.42515501e-08 
 4.46683592e+03  1.35485695e-06  1.41987371e-08 
 4.59726989e+03  1.34834032e-06  1.41472551e-08 
 4.73151259e+03  1.34186912e-06  1.40970735e-08 
 4.86967525e+03  1.33543623e-06  1.40481625e-08 
 5.01187234e+03  1.32903440e-06  1.40004928e-08 
 5.15822165e+03  1.32265624e-06  1.39540356e-08 
 5.30884444e+03  1.31629422e-06  1.39087628e-08 
 5.46386550e+03  1.30994065e-06  1.38646469e-08 
 5.62341325e+03  1.30358771e-06  1.38216609e-08 
 5.78761988e+03  1.29722739e-06  1.37797783e-08 
 5.95662144e+03  1.29085155e-06  1.37389732e-08 
 6.13055792e+03  1.28445185e-06  1.36992204e-08 
 6.30957344e+03  1.27801981e-06  1.36604949e-08 
 6.49381632e+03  1.27154677e-06  1.36227724e-08 
 6.68343918e+03  1.26502388e-06  1.35860292e-08 
 6.87859912e+03  1.25844216e-06  1.35502419e-08 
 7.07945784e+03  1.25179244e-06  1.35153876e-08 
 7.28618175e+03  1.24506538e-06  1.34814442e-08 
 7.49894209e+03  1.23825150e-06  1.34483896e-08 
 7.71791516e+03  1.23134117e-06  1.34162026e-08 
 7.94328235e+03  1.22432460e-06  1.33848622e-08 
 8.17523038e+03  1.21719190e-06  1.33543478e-08 
 8.41395142e+03  1.20993305e-06  1.33246395e-08 
 8.65964323e+03  1.20253792e-06  1.32957178e-08 
 8.91250938e+03  1.19499633e-06  1.32675633e-08 
 9.17275935e+03  1.18729801e-06  1.32401575e-08 
 9.44060876e+03  1.17943269e-06  1.32134820e-08 
 9.71627952e+03  1.17139008e-06  1.31875189e-08 
 1.00000000e+04  1.16315990e-06  1.31622507e-08 
