 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 3.36400000e-04  2.50085623e+00  3.74821256e+00  2.41882783e+00  2.41698796e+00 -3.37602172e-05 
 3.41400000e-04  2.50083958e+00  3.74971318e+00  2.42033510e+00  2.41838232e+00 -3.37494425e-05 
 3.46400000e-04  2.50082210e+00  3.75129439e+00  2.42192272e+00  2.41985898e+00 -3.37380860e-05 
 3.51400000e-04  2.50080382e+00  3.75295460e+00  2.42358910e+00  2.42141647e+00 -3.37261592e-05 
 3.56400000e-04  2.50078473e+00  3.75469214e+00  2.42533255e+00  2.42305322e+00 -3.37136741e-05 
 3.61400000e-04  2.50076488e+00  3.75650526e+00  2.42715134e+00  2.42476759e+00 -3.37006433e-05 
 3.66400000e-04  2.50074426e+00  3.75839217e+00  2.42904364e+00  2.42655786e+00 -3.36870799e-05 
 3.71400000e-04  2.50072292e+00  3.76035095e+00  2.43100756e+00  2.42842224e+00 -3.36729976e-05 
 3.76400000e-04  2.50070086e+00  3.76237966e+00  2.43304113e+00  2.43035886e+00 -3.36584105e-05 
 3.81400000e-04  2.50067811e+00  3.76447625e+00  2.43514231e+00  2.43236577e+00 -3.36433333e-05 
 3.86400000e-04  2.50065469e+00  3.76663864e+00  2.43730900e+00  2.43444098e+00 -3.36277811e-05 
 3.91400000e-04  2.50063062e+00  3.76886465e+00  2.43953903e+00  2.43658239e+00 -3.36117696e-05 
 3.96400000e-04  2.50060593e+00  3.77115207e+00  2.44183017e+00  2.43878788e+00 -3.35953148e-05 
 4.01400000e-04  2.50058065e+00  3.77349860e+00  2.44418013e+00  2.44105523e+00 -3.35784333e-05 
 4.06400000e-04  2.50055479e+00  3.77590189e+00  2.44658656e+00  2.44338217e+00 -3.35611419e-05 
 4.11400000e-04  2.50052838e+00  3.77835955e+00  2.44904705e+00  2.44576638e+00 -3.35434581e-05 
 4.16400000e-04  2.50050145e+00  3.78086912e+00  2.45155915e+00  2.44820548e+00 -3.35253996e-05 
 4.21400000e-04  2.50047403e+00  3.78342810e+00  2.45412035e+00  2.45069702e+00 -3.35069843e-05 
 4.26400000e-04  2.50044614e+00  3.78603392e+00  2.45672810e+00  2.45323853e+00 -3.34882309e-05 
 4.31400000e-04  2.50041780e+00  3.78868400e+00  2.45937978e+00  2.45582746e+00 -3.34691580e-05 
 4.36400000e-04  2.50038906e+00  3.79137569e+00  2.46207276e+00  2.45846123e+00 -3.34497846e-05 
 4.41400000e-04  2.50035993e+00  3.79410631e+00  2.46480436e+00  2.46113721e+00 -3.34301302e-05 
 4.46400000e-04  2.50033045e+00  3.79687313e+00  2.46757185e+00  2.46385275e+00 -3.34102145e-05 
 4.51400000e-04  2.50030064e+00  3.79967340e+00  2.47037247e+00  2.46660512e+00 -3.33900571e-05 
 4.56400000e-04  2.50027053e+00  3.80250434e+00  2.47320345e+00  2.46939159e+00 -3.33696783e-05 
 4.61400000e-04  2.50024016e+00  3.80536313e+00  2.47606196e+00  2.47220939e+00 -3.33490984e-05 
 4.66400000e-04  2.50020955e+00  3.80824693e+00  2.47894516e+00  2.47505572e+00 -3.33283379e-05 
 4.71400000e-04  2.50017873e+00  3.81115287e+00  2.48185018e+00  2.47792774e+00 -3.33074174e-05 
