 frequency       onoise_spectrum inoise_spectrum
 1.05925373e+03  1.72129608e-06  2.09184027e-08 
 1.09018449e+03  1.70530065e-06  2.07254429e-08 
 1.12201845e+03  1.68968159e-06  2.05371216e-08 
 1.15478198e+03  1.67442786e-06  2.03533079e-08 
 1.18850223e+03  1.65952887e-06  2.01738769e-08 
 1.22320712e+03  1.64497448e-06  1.99987091e-08 
 1.25892541e+03  1.63075494e-06  1.98276901e-08 
 1.29568670e+03  1.61686087e-06  1.96607103e-08 
 1.33352143e+03  1.60328325e-06  1.94976646e-08 
 1.37246096e+03  1.59001336e-06  1.93384522e-08 
 1.41253754e+03  1.57704283e-06  1.91829759e-08 
 1.45378439e+03  1.56436351e-06  1.90311427e-08 
 1.49623566e+03  1.55196755e-06  1.88828626e-08 
 1.53992653e+03  1.53984733e-06  1.87380493e-08 
 1.58489319e+03  1.52799546e-06  1.85966193e-08 
 1.63117291e+03  1.51640475e-06  1.84584921e-08 
 1.67880402e+03  1.50506820e-06  1.83235898e-08 
 1.72782598e+03  1.49397899e-06  1.81918372e-08 
 1.77827941e+03  1.48313048e-06  1.80631615e-08 
 1.83020611e+03  1.47251615e-06  1.79374921e-08 
 1.88364909e+03  1.46212963e-06  1.78147606e-08 
 1.93865264e+03  1.45196469e-06  1.76949007e-08 
 1.99526231e+03  1.44201520e-06  1.75778478e-08 
 2.05352503e+03  1.43227512e-06  1.74635393e-08 
 2.11348904e+03  1.42273854e-06  1.73519143e-08 
 2.17520403e+03  1.41339960e-06  1.72429136e-08 
 2.23872114e+03  1.40425252e-06  1.71364794e-08 
 2.30409298e+03  1.39529160e-06  1.70325553e-08 
 2.37137371e+03  1.38651118e-06  1.69310867e-08 
 2.44061907e+03  1.37790567e-06  1.68320199e-08 
 2.51188643e+03  1.36946948e-06  1.67353028e-08 
 2.58523484e+03  1.36119708e-06  1.66408843e-08 
 2.66072506e+03  1.35308297e-06  1.65487146e-08 
 2.73841963e+03  1.34512164e-06  1.64587450e-08 
 2.81838293e+03  1.33730761e-06  1.63709279e-08 
 2.90068120e+03  1.32963538e-06  1.62852166e-08 
 2.98538262e+03  1.32209947e-06  1.62015655e-08 
 3.07255737e+03  1.31469435e-06  1.61199301e-08 
 3.16227766e+03  1.30741451e-06  1.60402667e-08 
 3.25461783e+03  1.30025437e-06  1.59625323e-08 
 3.34965439e+03  1.29320835e-06  1.58866851e-08 
 3.44746607e+03  1.28627080e-06  1.58126840e-08 
 3.54813389e+03  1.27943604e-06  1.57404888e-08 
 3.65174127e+03  1.27269832e-06  1.56700599e-08 
 3.75837404e+03  1.26605182e-06  1.56013587e-08 
 3.86812055e+03  1.25949066e-06  1.55343473e-08 
 3.98107171e+03  1.25300888e-06  1.54689884e-08 
 4.09732110e+03  1.24660042e-06  1.54052456e-08 
 4.21696503e+03  1.24025915e-06  1.53430830e-08 
 4.34010264e+03  1.23397881e-06  1.52824657e-08 
 4.46683592e+03  1.22775305e-06  1.52233593e-08 
 4.59726989e+03  1.22157540e-06  1.51657299e-08 
 4.73151259e+03  1.21543927e-06  1.51095446e-08 
 4.86967525e+03  1.20933793e-06  1.50547708e-08 
 5.01187234e+03  1.20326453e-06  1.50013768e-08 
 5.15822165e+03  1.19721206e-06  1.49493313e-08 
 5.30884444e+03  1.19117337e-06  1.48986038e-08 
 5.46386550e+03  1.18514115e-06  1.48491642e-08 
 5.62341325e+03  1.17910794e-06  1.48009832e-08 
 5.78761988e+03  1.17306609e-06  1.47540319e-08 
 5.95662144e+03  1.16700780e-06  1.47082821e-08 
 6.13055792e+03  1.16092509e-06  1.46637061e-08 
 6.30957344e+03  1.15480981e-06  1.46202767e-08 
 6.49381632e+03  1.14865360e-06  1.45779674e-08 
 6.68343918e+03  1.14244795e-06  1.45367522e-08 
 6.87859912e+03  1.13618415e-06  1.44966055e-08 
 7.07945784e+03  1.12985332e-06  1.44575023e-08 
 7.28618175e+03  1.12344638e-06  1.44194181e-08 
 7.49894209e+03  1.11695410e-06  1.43823292e-08 
 7.71791516e+03  1.11036706e-06  1.43462119e-08 
 7.94328235e+03  1.10367569e-06  1.43110434e-08 
 8.17523038e+03  1.09687026e-06  1.42768012e-08 
 8.41395142e+03  1.08994091e-06  1.42434634e-08 
 8.65964323e+03  1.08287764e-06  1.42110085e-08 
 8.91250938e+03  1.07567033e-06  1.41794155e-08 
 9.17275935e+03  1.06830881e-06  1.41486640e-08 
 9.44060876e+03  1.06078281e-06  1.41187338e-08 
 9.71627952e+03  1.05308202e-06  1.40896054e-08 
 1.00000000e+04  1.04519614e-06  1.40612596e-08 
 1.02920053e+04  1.03711488e-06  1.40336779e-08 
 1.05925373e+04  1.02882800e-06  1.40068419e-08 
 1.09018449e+04  1.02032539e-06  1.39807338e-08 
 1.12201845e+04  1.01159705e-06  1.39553364e-08 
 1.15478198e+04  1.00263320e-06  1.39306327e-08 
 1.18850223e+04  9.93424297e-07  1.39066062e-08 
 1.22320712e+04  9.83961112e-07  1.38832409e-08 
 1.25892541e+04  9.74234772e-07  1.38605212e-08 
 1.29568670e+04  9.64236836e-07  1.38384317e-08 
 1.33352143e+04  9.53959361e-07  1.38169577e-08 
 1.37246096e+04  9.43394972e-07  1.37960849e-08 
 1.41253754e+04  9.32536938e-07  1.37757991e-08 
 1.45378439e+04  9.21379243e-07  1.37560869e-08 
 1.49623566e+04  9.09916667e-07  1.37369351e-08 
 1.53992653e+04  8.98144865e-07  1.37183308e-08 
 1.58489319e+04  8.86060440e-07  1.37002616e-08 
 1.63117291e+04  8.73661030e-07  1.36827157e-08 
 1.67880402e+04  8.60945376e-07  1.36656813e-08 
 1.72782598e+04  8.47913400e-07  1.36491473e-08 
 1.77827941e+04  8.34566276e-07  1.36331029e-08 
 1.83020611e+04  8.20906491e-07  1.36175377e-08 
 1.88364909e+04  8.06937910e-07  1.36024415e-08 
 1.93865264e+04  7.92665827e-07  1.35878049e-08 
 1.99526231e+04  7.78097006e-07  1.35736184e-08 
