 frequency       onoise_spectrum inoise_spectrum
 7.07945784e+02  1.45531340e-06  3.21767046e-08 
 7.28618175e+02  1.43788563e-06  3.17915425e-08 
 7.49894209e+02  1.42090733e-06  3.14163569e-08 
 7.71791516e+02  1.40436234e-06  3.10507896e-08 
 7.94328235e+02  1.38823532e-06  3.06945014e-08 
 8.17523038e+02  1.37251179e-06  3.03471713e-08 
 8.41395142e+02  1.35717800e-06  3.00084953e-08 
 8.65964323e+02  1.34222089e-06  2.96781849e-08 
 8.91250938e+02  1.32762812e-06  2.93559671e-08 
 9.17275935e+02  1.31338794e-06  2.90415824e-08 
 9.44060876e+02  1.29948918e-06  2.87347846e-08 
 9.71627952e+02  1.28592125e-06  2.84353399e-08 
 1.00000000e+03  1.27267405e-06  2.81430258e-08 
 1.02920053e+03  1.25973797e-06  2.78576307e-08 
 1.05925373e+03  1.24710385e-06  2.75789531e-08 
 1.09018449e+03  1.23476296e-06  2.73068011e-08 
 1.12201845e+03  1.22270695e-06  2.70409916e-08 
 1.15478198e+03  1.21092786e-06  2.67813499e-08 
 1.18850223e+03  1.19941805e-06  2.65277088e-08 
 1.22320712e+03  1.18817023e-06  2.62799089e-08 
 1.25892541e+03  1.17717740e-06  2.60377973e-08 
 1.29568670e+03  1.16643284e-06  2.58012277e-08 
 1.33352143e+03  1.15593011e-06  2.55700596e-08 
 1.37246096e+03  1.14566299e-06  2.53441585e-08 
 1.41253754e+03  1.13562553e-06  2.51233950e-08 
 1.45378439e+03  1.12581196e-06  2.49076445e-08 
 1.49623566e+03  1.11621673e-06  2.46967874e-08 
 1.53992653e+03  1.10683447e-06  2.44907083e-08 
 1.58489319e+03  1.09766000e-06  2.42892958e-08 
 1.63117291e+03  1.08868830e-06  2.40924427e-08 
 1.67880402e+03  1.07991449e-06  2.39000451e-08 
 1.72782598e+03  1.07133386e-06  2.37120026e-08 
 1.77827941e+03  1.06294179e-06  2.35282182e-08 
 1.83020611e+03  1.05473384e-06  2.33485977e-08 
 1.88364909e+03  1.04670565e-06  2.31730499e-08 
 1.93865264e+03  1.03885297e-06  2.30014862e-08 
 1.99526231e+03  1.03117166e-06  2.28338206e-08 
 2.05352503e+03  1.02365768e-06  2.26699695e-08 
 2.11348904e+03  1.01630706e-06  2.25098516e-08 
 2.17520403e+03  1.00911593e-06  2.23533876e-08 
 2.23872114e+03  1.00208047e-06  2.22005004e-08 
 2.30409298e+03  9.95196962e-07  2.20511149e-08 
 2.37137371e+03  9.88461720e-07  2.19051576e-08 
 2.44061907e+03  9.81871134e-07  2.17625570e-08 
 2.51188643e+03  9.75421647e-07  2.16232430e-08 
 2.58523484e+03  9.69109747e-07  2.14871474e-08 
 2.66072506e+03  9.62931970e-07  2.13542033e-08 
 2.73841963e+03  9.56884892e-07  2.12243454e-08 
 2.81838293e+03  9.50965124e-07  2.10975096e-08 
 2.90068120e+03  9.45169312e-07  2.09736334e-08 
 2.98538262e+03  9.39494129e-07  2.08526553e-08 
 3.07255737e+03  9.33936273e-07  2.07345153e-08 
 3.16227766e+03  9.28492465e-07  2.06191544e-08 
 3.25461783e+03  9.23159442e-07  2.05065149e-08 
 3.34965439e+03  9.17933955e-07  2.03965400e-08 
 3.44746607e+03  9.12812766e-07  2.02891743e-08 
 3.54813389e+03  9.07792644e-07  2.01843632e-08 
 3.65174127e+03  9.02870363e-07  2.00820531e-08 
 3.75837404e+03  8.98042695e-07  1.99821916e-08 
 3.86812055e+03  8.93306410e-07  1.98847271e-08 
 3.98107171e+03  8.88658271e-07  1.97896089e-08 
 4.09732110e+03  8.84095029e-07  1.96967874e-08 
 4.21696503e+03  8.79613425e-07  1.96062137e-08 
 4.34010264e+03  8.75210178e-07  1.95178399e-08 
 4.46683592e+03  8.70881990e-07  1.94316190e-08 
 4.59726989e+03  8.66625534e-07  1.93475046e-08 
 4.73151259e+03  8.62437458e-07  1.92654514e-08 
 4.86967525e+03  8.58314375e-07  1.91854147e-08 
 5.01187234e+03  8.54252864e-07  1.91073509e-08 
 5.15822165e+03  8.50249462e-07  1.90312168e-08 
 5.30884444e+03  8.46300662e-07  1.89569702e-08 
 5.46386550e+03  8.42402909e-07  1.88845697e-08 
 5.62341325e+03  8.38552596e-07  1.88139746e-08 
 5.78761988e+03  8.34746058e-07  1.87451447e-08 
 5.95662144e+03  8.30979569e-07  1.86780410e-08 
 6.13055792e+03  8.27249338e-07  1.86126249e-08 
 6.30957344e+03  8.23551506e-07  1.85488585e-08 
 6.49381632e+03  8.19882136e-07  1.84867047e-08 
 6.68343918e+03  8.16237217e-07  1.84261272e-08 
 6.87859912e+03  8.12612652e-07  1.83670902e-08 
 7.07945784e+03  8.09004259e-07  1.83095587e-08 
 7.28618175e+03  8.05407762e-07  1.82534983e-08 
 7.49894209e+03  8.01818792e-07  1.81988753e-08 
 7.71791516e+03  7.98232880e-07  1.81456567e-08 
 7.94328235e+03  7.94645451e-07  1.80938101e-08 
