 frequency       onoise_spectrum inoise_spectrum
 1.53992653e+04  2.17300851e-06  3.23127293e-08 
 1.58489319e+04  2.14037245e-06  3.21221700e-08 
 1.63117291e+04  2.10746584e-06  3.19362203e-08 
 1.67880402e+04  2.07427462e-06  3.17548132e-08 
 1.72782598e+04  2.04078622e-06  3.15778835e-08 
 1.77827941e+04  2.00698972e-06  3.14053674e-08 
 1.83020611e+04  1.97287598e-06  3.12372031e-08 
 1.88364909e+04  1.93843782e-06  3.10733305e-08 
 1.93865264e+04  1.90367014e-06  3.09136912e-08 
 1.99526231e+04  1.86857009e-06  3.07582290e-08 
 2.05352503e+04  1.83313716e-06  3.06068896e-08 
 2.11348904e+04  1.79737337e-06  3.04596206e-08 
 2.17520403e+04  1.76128337e-06  3.03163720e-08 
 2.23872114e+04  1.72487451e-06  3.01770958e-08 
 2.30409298e+04  1.68815700e-06  3.00417464e-08 
 2.37137371e+04  1.65114394e-06  2.99102806e-08 
 2.44061907e+04  1.61385138e-06  2.97826578e-08 
 2.51188643e+04  1.57629838e-06  2.96588399e-08 
 2.58523484e+04  1.53850702e-06  2.95387915e-08 
 2.66072506e+04  1.50050236e-06  2.94224800e-08 
 2.73841963e+04  1.46231243e-06  2.93098759e-08 
 2.81838293e+04  1.42396814e-06  2.92009527e-08 
 2.90068120e+04  1.38550322e-06  2.90956871e-08 
 2.98538262e+04  1.34695402e-06  2.89940592e-08 
 3.07255737e+04  1.30835946e-06  2.88960528e-08 
 3.16227766e+04  1.26976073e-06  2.88016553e-08 
 3.25461783e+04  1.23120117e-06  2.87108579e-08 
 3.34965439e+04  1.19272597e-06  2.86236560e-08 
 3.44746607e+04  1.15438191e-06  2.85400495e-08 
 3.54813389e+04  1.11621711e-06  2.84600424e-08 
 3.65174127e+04  1.07828064e-06  2.83836440e-08 
 3.75837404e+04  1.04062229e-06  2.83108683e-08 
 3.86812055e+04  1.00329213e-06  2.82417346e-08 
 3.98107171e+04  9.66340238e-07  2.81762682e-08 
 4.09732110e+04  9.29816288e-07  2.81144999e-08 
 4.21696503e+04  8.93769224e-07  2.80564670e-08 
 4.34010264e+04  8.58246893e-07  2.80022136e-08 
