 time            v(vin)          v(b1_base)      v(b1_emitter)   v(b1_collector) v(b1_out)      
 6.62800000e-05  2.50040452e+00  1.12961169e+00  3.35891508e-01  3.36401596e+00  3.36401596e+00 
 6.72800000e-05  2.50041025e+00  1.12961742e+00  3.35896790e-01  3.36399027e+00  3.36399027e+00 
 6.82800000e-05  2.50041598e+00  1.12962314e+00  3.35902056e-01  3.36396464e+00  3.36396464e+00 
 6.92800000e-05  2.50042168e+00  1.12962884e+00  3.35907308e-01  3.36393909e+00  3.36393909e+00 
 7.02800000e-05  2.50042737e+00  1.12963452e+00  3.35912544e-01  3.36391362e+00  3.36391362e+00 
 7.12800000e-05  2.50043304e+00  1.12964019e+00  3.35917764e-01  3.36388822e+00  3.36388822e+00 
 7.22800000e-05  2.50043870e+00  1.12964583e+00  3.35922969e-01  3.36386290e+00  3.36386290e+00 
 7.32800000e-05  2.50044433e+00  1.12965147e+00  3.35928157e-01  3.36383766e+00  3.36383766e+00 
 7.42800000e-05  2.50044996e+00  1.12965708e+00  3.35933330e-01  3.36381249e+00  3.36381249e+00 
 7.52800000e-05  2.50045556e+00  1.12966268e+00  3.35938485e-01  3.36378741e+00  3.36378741e+00 
 7.62800000e-05  2.50046114e+00  1.12966825e+00  3.35943625e-01  3.36376241e+00  3.36376241e+00 
 7.72800000e-05  2.50046671e+00  1.12967381e+00  3.35948747e-01  3.36373749e+00  3.36373749e+00 
 7.82800000e-05  2.50047226e+00  1.12967935e+00  3.35953853e-01  3.36371265e+00  3.36371265e+00 
 7.92800000e-05  2.50047778e+00  1.12968488e+00  3.35958941e-01  3.36368789e+00  3.36368789e+00 
 8.02800000e-05  2.50048329e+00  1.12969038e+00  3.35964011e-01  3.36366322e+00  3.36366322e+00 
 8.12800000e-05  2.50048879e+00  1.12969586e+00  3.35969064e-01  3.36363864e+00  3.36363864e+00 
 8.22800000e-05  2.50049426e+00  1.12970133e+00  3.35974100e-01  3.36361414e+00  3.36361414e+00 
 8.32800000e-05  2.50049971e+00  1.12970677e+00  3.35979117e-01  3.36358973e+00  3.36358973e+00 
 8.42800000e-05  2.50050514e+00  1.12971220e+00  3.35984116e-01  3.36356541e+00  3.36356541e+00 
 8.52800000e-05  2.50051055e+00  1.12971760e+00  3.35989096e-01  3.36354118e+00  3.36354118e+00 
 8.62800000e-05  2.50051595e+00  1.12972299e+00  3.35994058e-01  3.36351704e+00  3.36351704e+00 
 8.72800000e-05  2.50052132e+00  1.12972835e+00  3.35999001e-01  3.36349299e+00  3.36349299e+00 
 8.82800000e-05  2.50052667e+00  1.12973370e+00  3.36003925e-01  3.36346904e+00  3.36346904e+00 
 8.92800000e-05  2.50053200e+00  1.12973902e+00  3.36008830e-01  3.36344518e+00  3.36344518e+00 
 9.02800000e-05  2.50053731e+00  1.12974432e+00  3.36013715e-01  3.36342141e+00  3.36342141e+00 
 9.12800000e-05  2.50054260e+00  1.12974960e+00  3.36018581e-01  3.36339774e+00  3.36339774e+00 
 9.22800000e-05  2.50054787e+00  1.12975486e+00  3.36023427e-01  3.36337416e+00  3.36337416e+00 
 9.32800000e-05  2.50055311e+00  1.12976010e+00  3.36028253e-01  3.36335068e+00  3.36335068e+00 
 9.42800000e-05  2.50055834e+00  1.12976532e+00  3.36033058e-01  3.36332730e+00  3.36332730e+00 
 9.52800000e-05  2.50056354e+00  1.12977051e+00  3.36037844e-01  3.36330402e+00  3.36330402e+00 
 9.62800000e-05  2.50056872e+00  1.12977568e+00  3.36042609e-01  3.36328084e+00  3.36328084e+00 
 9.72800000e-05  2.50057387e+00  1.12978083e+00  3.36047353e-01  3.36325776e+00  3.36325776e+00 
 9.82800000e-05  2.50057901e+00  1.12978596e+00  3.36052076e-01  3.36323478e+00  3.36323478e+00 
 9.92800000e-05  2.50058412e+00  1.12979106e+00  3.36056778e-01  3.36321190e+00  3.36321190e+00 
 1.00280000e-04  2.50058921e+00  1.12979614e+00  3.36061458e-01  3.36318913e+00  3.36318913e+00 
 1.01280000e-04  2.50059427e+00  1.12980120e+00  3.36066118e-01  3.36316646e+00  3.36316646e+00 
 1.02280000e-04  2.50059931e+00  1.12980623e+00  3.36070755e-01  3.36314390e+00  3.36314390e+00 
 1.03280000e-04  2.50060433e+00  1.12981124e+00  3.36075371e-01  3.36312145e+00  3.36312145e+00 
 1.04280000e-04  2.50060933e+00  1.12981622e+00  3.36079964e-01  3.36309910e+00  3.36309910e+00 
 1.05280000e-04  2.50061430e+00  1.12982118e+00  3.36084536e-01  3.36307686e+00  3.36307686e+00 
 1.06280000e-04  2.50061924e+00  1.12982612e+00  3.36089085e-01  3.36305473e+00  3.36305473e+00 
 1.07280000e-04  2.50062416e+00  1.12983103e+00  3.36093611e-01  3.36303270e+00  3.36303270e+00 
 1.08280000e-04  2.50062906e+00  1.12983592e+00  3.36098115e-01  3.36301079e+00  3.36301079e+00 
 1.09280000e-04  2.50063393e+00  1.12984078e+00  3.36102595e-01  3.36298899e+00  3.36298899e+00 
 1.10280000e-04  2.50063878e+00  1.12984562e+00  3.36107053e-01  3.36296731e+00  3.36296731e+00 
 1.11280000e-04  2.50064360e+00  1.12985044e+00  3.36111487e-01  3.36294573e+00  3.36294573e+00 
 1.12280000e-04  2.50064840e+00  1.12985522e+00  3.36115898e-01  3.36292427e+00  3.36292427e+00 
 1.13280000e-04  2.50065317e+00  1.12985998e+00  3.36120285e-01  3.36290293e+00  3.36290293e+00 
 1.14280000e-04  2.50065791e+00  1.12986472e+00  3.36124649e-01  3.36288170e+00  3.36288170e+00 
 1.15280000e-04  2.50066263e+00  1.12986943e+00  3.36128988e-01  3.36286059e+00  3.36286059e+00 
 1.16280000e-04  2.50066732e+00  1.12987411e+00  3.36133303e-01  3.36283960e+00  3.36283960e+00 
 1.17280000e-04  2.50067199e+00  1.12987877e+00  3.36137594e-01  3.36281872e+00  3.36281872e+00 
 1.18280000e-04  2.50067663e+00  1.12988340e+00  3.36141860e-01  3.36279796e+00  3.36279796e+00 
 1.19280000e-04  2.50068124e+00  1.12988800e+00  3.36146102e-01  3.36277733e+00  3.36277733e+00 
 1.20280000e-04  2.50068583e+00  1.12989258e+00  3.36150319e-01  3.36275681e+00  3.36275681e+00 
 1.21280000e-04  2.50069039e+00  1.12989713e+00  3.36154511e-01  3.36273642e+00  3.36273642e+00 
 1.22280000e-04  2.50069492e+00  1.12990165e+00  3.36158677e-01  3.36271615e+00  3.36271615e+00 
 1.23280000e-04  2.50069942e+00  1.12990614e+00  3.36162819e-01  3.36269600e+00  3.36269600e+00 
 1.24280000e-04  2.50070390e+00  1.12991061e+00  3.36166935e-01  3.36267598e+00  3.36267598e+00 
 1.25280000e-04  2.50070835e+00  1.12991505e+00  3.36171025e-01  3.36265608e+00  3.36265608e+00 
 1.26280000e-04  2.50071277e+00  1.12991946e+00  3.36175089e-01  3.36263630e+00  3.36263630e+00 
 1.27280000e-04  2.50071716e+00  1.12992384e+00  3.36179127e-01  3.36261665e+00  3.36261665e+00 
 1.28280000e-04  2.50072153e+00  1.12992820e+00  3.36183140e-01  3.36259713e+00  3.36259713e+00 
 1.29280000e-04  2.50072586e+00  1.12993252e+00  3.36187126e-01  3.36257774e+00  3.36257774e+00 
 1.30280000e-04  2.50073017e+00  1.12993682e+00  3.36191085e-01  3.36255848e+00  3.36255848e+00 
 1.31280000e-04  2.50073445e+00  1.12994109e+00  3.36195018e-01  3.36253934e+00  3.36253934e+00 
 1.32280000e-04  2.50073870e+00  1.12994533e+00  3.36198924e-01  3.36252034e+00  3.36252034e+00 
 1.33280000e-04  2.50074292e+00  1.12994954e+00  3.36202803e-01  3.36250147e+00  3.36250147e+00 
 1.34280000e-04  2.50074711e+00  1.12995372e+00  3.36206655e-01  3.36248273e+00  3.36248273e+00 
 1.35280000e-04  2.50075127e+00  1.12995787e+00  3.36210480e-01  3.36246412e+00  3.36246412e+00 
 1.36280000e-04  2.50075541e+00  1.12996199e+00  3.36214278e-01  3.36244564e+00  3.36244564e+00 
