 frequency       onoise_spectrum inoise_spectrum
 9.44060876e+02  2.05349873e-06  2.03866079e-08 
 9.71627952e+02  2.03330977e-06  2.01871737e-08 
 1.00000000e+03  2.01362909e-06  1.99928337e-08 
 1.02920053e+03  1.99443988e-06  1.98034235e-08 
 1.05925373e+03  1.97572615e-06  1.96187867e-08 
 1.09018449e+03  1.95747265e-06  1.94387745e-08 
 1.12201845e+03  1.93966484e-06  1.92632453e-08 
 1.15478198e+03  1.92228885e-06  1.90920643e-08 
 1.18850223e+03  1.90533140e-06  1.89251029e-08 
 1.22320712e+03  1.88877979e-06  1.87622384e-08 
 1.25892541e+03  1.87262187e-06  1.86033537e-08 
 1.29568670e+03  1.85684598e-06  1.84483367e-08 
 1.33352143e+03  1.84144092e-06  1.82970803e-08 
 1.37246096e+03  1.82639593e-06  1.81494821e-08 
 1.41253754e+03  1.81170066e-06  1.80054435e-08 
 1.45378439e+03  1.79734511e-06  1.78648704e-08 
 1.49623566e+03  1.78331966e-06  1.77276722e-08 
 1.53992653e+03  1.76961500e-06  1.75937618e-08 
 1.58489319e+03  1.75622213e-06  1.74630556e-08 
 1.63117291e+03  1.74313232e-06  1.73354729e-08 
 1.67880402e+03  1.73033712e-06  1.72109360e-08 
 1.72782598e+03  1.71782829e-06  1.70893701e-08 
 1.77827941e+03  1.70559783e-06  1.69707028e-08 
 1.83020611e+03  1.69363796e-06  1.68548641e-08 
 1.88364909e+03  1.68194105e-06  1.67417866e-08 
 1.93865264e+03  1.67049967e-06  1.66314048e-08 
 1.99526231e+03  1.65930656e-06  1.65236552e-08 
 2.05352503e+03  1.64835457e-06  1.64184765e-08 
 2.11348904e+03  1.63763671e-06  1.63158090e-08 
 2.17520403e+03  1.62714608e-06  1.62155948e-08 
 2.23872114e+03  1.61687593e-06  1.61177778e-08 
 2.30409298e+03  1.60681957e-06  1.60223031e-08 
 2.37137371e+03  1.59697039e-06  1.59291177e-08 
 2.44061907e+03  1.58732189e-06  1.58381697e-08 
 2.51188643e+03  1.57786759e-06  1.57494087e-08 
 2.58523484e+03  1.56860110e-06  1.56627856e-08 
 2.66072506e+03  1.55951605e-06  1.55782522e-08 
 2.73841963e+03  1.55060610e-06  1.54957620e-08 
 2.81838293e+03  1.54186495e-06  1.54152692e-08 
 2.90068120e+03  1.53328632e-06  1.53367292e-08 
 2.98538262e+03  1.52486391e-06  1.52600985e-08 
 3.07255737e+03  1.51659144e-06  1.51853345e-08 
 3.16227766e+03  1.50846260e-06  1.51123956e-08 
 3.25461783e+03  1.50047109e-06  1.50412411e-08 
 3.34965439e+03  1.49261055e-06  1.49718311e-08 
 3.44746607e+03  1.48487460e-06  1.49041268e-08 
 3.54813389e+03  1.47725680e-06  1.48380901e-08 
 3.65174127e+03  1.46975067e-06  1.47736835e-08 
 3.75837404e+03  1.46234966e-06  1.47108706e-08 
 3.86812055e+03  1.45504715e-06  1.46496155e-08 
 3.98107171e+03  1.44783643e-06  1.45898834e-08 
 4.09732110e+03  1.44071072e-06  1.45316397e-08 
 4.21696503e+03  1.43366313e-06  1.44748510e-08 
 4.34010264e+03  1.42668666e-06  1.44194842e-08 
 4.46683592e+03  1.41977421e-06  1.43655072e-08 
 4.59726989e+03  1.41291853e-06  1.43128882e-08 
 4.73151259e+03  1.40611227e-06  1.42615964e-08 
 4.86967525e+03  1.39934792e-06  1.42116013e-08 
 5.01187234e+03  1.39261783e-06  1.41628733e-08 
 5.15822165e+03  1.38591419e-06  1.41153831e-08 
 5.30884444e+03  1.37922903e-06  1.40691023e-08 
 5.46386550e+03  1.37255419e-06  1.40240028e-08 
 5.62341325e+03  1.36588137e-06  1.39800573e-08 
 5.78761988e+03  1.35920203e-06  1.39372389e-08 
