 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 5.81400000e-04  2.49951056e+00  3.87256806e+00  2.54310720e+00 -3.28667979e-05 
 5.86400000e-04  2.49948341e+00  3.87521831e+00  2.54574641e+00 -3.28476821e-05 
 5.91400000e-04  2.49945677e+00  3.87782468e+00  2.54834159e+00 -3.28288799e-05 
 5.96400000e-04  2.49943066e+00  3.88038465e+00  2.55089022e+00 -3.28104096e-05 
 6.01400000e-04  2.49940512e+00  3.88289570e+00  2.55338981e+00 -3.27922891e-05 
 6.06400000e-04  2.49938017e+00  3.88535538e+00  2.55583791e+00 -3.27745360e-05 
 6.11400000e-04  2.49935582e+00  3.88776131e+00  2.55823215e+00 -3.27571677e-05 
 6.16400000e-04  2.49933212e+00  3.89011113e+00  2.56057019e+00 -3.27402009e-05 
 6.21400000e-04  2.49930907e+00  3.89240257e+00  2.56284976e+00 -3.27236520e-05 
 6.26400000e-04  2.49928670e+00  3.89463339e+00  2.56506863e+00 -3.27075372e-05 
 6.31400000e-04  2.49926504e+00  3.89680142e+00  2.56722466e+00 -3.26918720e-05 
 6.36400000e-04  2.49924410e+00  3.89890457e+00  2.56931575e+00 -3.26766715e-05 
 6.41400000e-04  2.49922391e+00  3.90094078e+00  2.57133987e+00 -3.26619505e-05 
 6.46400000e-04  2.49920448e+00  3.90290809e+00  2.57329506e+00 -3.26477232e-05 
 6.51400000e-04  2.49918584e+00  3.90480458e+00  2.57517942e+00 -3.26340032e-05 
 6.56400000e-04  2.49916801e+00  3.90662843e+00  2.57699113e+00 -3.26208038e-05 
 6.61400000e-04  2.49915099e+00  3.90837786e+00  2.57872843e+00 -3.26081377e-05 
 6.66400000e-04  2.49913481e+00  3.91005119e+00  2.58038965e+00 -3.25960170e-05 
 6.71400000e-04  2.49911949e+00  3.91164680e+00  2.58197318e+00 -3.25844536e-05 
 6.76400000e-04  2.49910503e+00  3.91316314e+00  2.58347749e+00 -3.25734583e-05 
 6.81400000e-04  2.49909146e+00  3.91459875e+00  2.58490113e+00 -3.25630419e-05 
 6.86400000e-04  2.49907879e+00  3.91595225e+00  2.58624271e+00 -3.25532143e-05 
 6.91400000e-04  2.49906702e+00  3.91722233e+00  2.58750096e+00 -3.25439849e-05 
 6.96400000e-04  2.49905618e+00  3.91840777e+00  2.58867465e+00 -3.25353626e-05 
 7.01400000e-04  2.49904626e+00  3.91950742e+00  2.58976266e+00 -3.25273556e-05 
 7.06400000e-04  2.49903729e+00  3.92052022e+00  2.59076393e+00 -3.25199717e-05 
 7.11400000e-04  2.49902927e+00  3.92144520e+00  2.59167751e+00 -3.25132178e-05 
 7.16400000e-04  2.49902220e+00  3.92228146e+00  2.59250250e+00 -3.25071005e-05 
 7.21400000e-04  2.49901610e+00  3.92302821e+00  2.59323812e+00 -3.25016255e-05 
 7.26400000e-04  2.49901097e+00  3.92368473e+00  2.59388367e+00 -3.24967982e-05 
 7.31400000e-04  2.49900682e+00  3.92425037e+00  2.59443851e+00 -3.24926232e-05 
 7.36400000e-04  2.49900365e+00  3.92472461e+00  2.59490212e+00 -3.24891044e-05 
 7.41400000e-04  2.49900146e+00  3.92510697e+00  2.59527404e+00 -3.24862452e-05 
 7.46400000e-04  2.49900026e+00  3.92539710e+00  2.59555393e+00 -3.24840484e-05 
 7.51400000e-04  2.49900004e+00  3.92559471e+00  2.59574151e+00 -3.24825160e-05 
 7.56400000e-04  2.49900081e+00  3.92569961e+00  2.59583659e+00 -3.24816496e-05 
 7.61400000e-04  2.49900256e+00  3.92571171e+00  2.59583910e+00 -3.24814499e-05 
 7.66400000e-04  2.49900530e+00  3.92563098e+00  2.59574902e+00 -3.24819173e-05 
 7.71400000e-04  2.49900903e+00  3.92545751e+00  2.59556644e+00 -3.24830511e-05 
 7.76400000e-04  2.49901373e+00  3.92519147e+00  2.59529154e+00 -3.24848505e-05 
 7.81400000e-04  2.49901940e+00  3.92483310e+00  2.59492458e+00 -3.24873136e-05 
 7.86400000e-04  2.49902604e+00  3.92438275e+00  2.59446590e+00 -3.24904381e-05 
 7.91400000e-04  2.49903364e+00  3.92384085e+00  2.59391596e+00 -3.24942211e-05 
 7.96400000e-04  2.49904220e+00  3.92320793e+00  2.59327528e+00 -3.24986589e-05 
 8.01400000e-04  2.49905170e+00  3.92248458e+00  2.59254447e+00 -3.25037474e-05 
 8.06400000e-04  2.49906214e+00  3.92167151e+00  2.59172424e+00 -3.25094817e-05 
 8.11400000e-04  2.49907350e+00  3.92076950e+00  2.59081537e+00 -3.25158563e-05 
 8.16400000e-04  2.49908577e+00  3.91977940e+00  2.58981874e+00 -3.25228651e-05 
 8.21400000e-04  2.49909895e+00  3.91870219e+00  2.58873530e+00 -3.25305014e-05 
 8.26400000e-04  2.49911302e+00  3.91753888e+00  2.58756610e+00 -3.25387581e-05 
 8.31400000e-04  2.49912796e+00  3.91629061e+00  2.58631227e+00 -3.25476270e-05 
 8.36400000e-04  2.49914377e+00  3.91495857e+00  2.58497501e+00 -3.25570999e-05 
 8.41400000e-04  2.49916042e+00  3.91354405e+00  2.58355561e+00 -3.25671676e-05 
 8.46400000e-04  2.49917790e+00  3.91204841e+00  2.58205544e+00 -3.25778204e-05 
 8.51400000e-04  2.49919618e+00  3.91047310e+00  2.58047595e+00 -3.25890482e-05 
 8.56400000e-04  2.49921527e+00  3.90881963e+00  2.57881866e+00 -3.26008401e-05 
 8.61400000e-04  2.49923512e+00  3.90708960e+00  2.57708517e+00 -3.26131849e-05 
 8.66400000e-04  2.49925574e+00  3.90528468e+00  2.57527715e+00 -3.26260708e-05 
 8.71400000e-04  2.49927708e+00  3.90340663e+00  2.57339637e+00 -3.26394852e-05 
 8.76400000e-04  2.49929914e+00  3.90145725e+00  2.57144463e+00 -3.26534153e-05 
 8.81400000e-04  2.49932189e+00  3.89943843e+00  2.56942382e+00 -3.26678477e-05 
 8.86400000e-04  2.49934531e+00  3.89735214e+00  2.56733591e+00 -3.26827684e-05 
 8.91400000e-04  2.49936938e+00  3.89520039e+00  2.56518292e+00 -3.26981631e-05 
 8.96400000e-04  2.49939407e+00  3.89298527e+00  2.56296693e+00 -3.27140169e-05 
 9.01400000e-04  2.49941935e+00  3.89070894e+00  2.56069011e+00 -3.27303145e-05 
 9.06400000e-04  2.49944521e+00  3.88837361e+00  2.55835466e+00 -3.27470400e-05 
 9.11400000e-04  2.49947162e+00  3.88598154e+00  2.55596285e+00 -3.27641773e-05 
 9.16400000e-04  2.49949855e+00  3.88353506e+00  2.55351702e+00 -3.27817098e-05 
 9.21400000e-04  2.49952597e+00  3.88103657e+00  2.55101955e+00 -3.27996204e-05 
 9.26400000e-04  2.49955386e+00  3.87848849e+00  2.54847286e+00 -3.28178917e-05 
 9.31400000e-04  2.49958220e+00  3.87589332e+00  2.54587945e+00 -3.28365060e-05 
 9.36400000e-04  2.49961094e+00  3.87325357e+00  2.54324185e+00 -3.28554452e-05 
 9.41400000e-04  2.49964007e+00  3.87057185e+00  2.54056263e+00 -3.28746907e-05 
 9.46400000e-04  2.49966955e+00  3.86785076e+00  2.53784441e+00 -3.28942239e-05 
 9.51400000e-04  2.49969936e+00  3.86509297e+00  2.53508986e+00 -3.29140256e-05 
 9.56400000e-04  2.49972947e+00  3.86230118e+00  2.53230167e+00 -3.29340765e-05 
 9.61400000e-04  2.49975984e+00  3.85947813e+00  2.52948258e+00 -3.29543570e-05 
 9.66400000e-04  2.49979045e+00  3.85662659e+00  2.52663535e+00 -3.29748472e-05 
 9.71400000e-04  2.49982127e+00  3.85374935e+00  2.52376278e+00 -3.29955270e-05 
 9.76400000e-04  2.49985226e+00  3.85084925e+00  2.52086768e+00 -3.30163761e-05 
 9.81400000e-04  2.49988340e+00  3.84792913e+00  2.51795291e+00 -3.30373741e-05 
 9.86400000e-04  2.49991465e+00  3.84499187e+00  2.51502133e+00 -3.30585002e-05 
 9.91400000e-04  2.49994599e+00  3.84204036e+00  2.51207583e+00 -3.30797338e-05 
 9.96400000e-04  2.49997738e+00  3.83907751e+00  2.50911931e+00 -3.31010540e-05 
 1.00140000e-03  2.50000880e+00  3.83610625e+00  2.50615469e+00 -3.31224396e-05 
