 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 3.31400000e-04  2.50087204e+00  3.74494474e+00  2.41593789e+00  2.41502563e+00 -3.37853946e-05 
 3.36400000e-04  2.50085623e+00  3.74622864e+00  2.41722318e+00  2.41624497e+00 -3.37763141e-05 
 3.41400000e-04  2.50083958e+00  3.74759663e+00  2.41859194e+00  2.41754876e+00 -3.37666249e-05 
 3.46400000e-04  2.50082210e+00  3.74904731e+00  2.42004279e+00  2.41893569e+00 -3.37563367e-05 
 3.51400000e-04  2.50080382e+00  3.75057925e+00  2.42157428e+00  2.42040436e+00 -3.37454599e-05 
 3.56400000e-04  2.50078473e+00  3.75219091e+00  2.42318487e+00  2.42195331e+00 -3.37340054e-05 
 3.61400000e-04  2.50076488e+00  3.75388066e+00  2.42487294e+00  2.42358097e+00 -3.37219848e-05 
 3.66400000e-04  2.50074426e+00  3.75564681e+00  2.42663680e+00  2.42528572e+00 -3.37094102e-05 
 3.71400000e-04  2.50072292e+00  3.75748760e+00  2.42847469e+00  2.42706585e+00 -3.36962943e-05 
 3.76400000e-04  2.50070086e+00  3.75940118e+00  2.43038476e+00  2.42891958e+00 -3.36826503e-05 
 3.81400000e-04  2.50067811e+00  3.76138563e+00  2.43236509e+00  2.43084504e+00 -3.36684918e-05 
 3.86400000e-04  2.50065469e+00  3.76343897e+00  2.43441372e+00  2.43284031e+00 -3.36538332e-05 
 3.91400000e-04  2.50063062e+00  3.76555913e+00  2.43652857e+00  2.43490339e+00 -3.36386891e-05 
 3.96400000e-04  2.50060593e+00  3.76774400e+00  2.43870755e+00  2.43703221e+00 -3.36230748e-05 
 4.01400000e-04  2.50058065e+00  3.76999139e+00  2.44094846e+00  2.43922465e+00 -3.36070060e-05 
 4.06400000e-04  2.50055479e+00  3.77229906e+00  2.44324907e+00  2.44147851e+00 -3.35904988e-05 
 4.11400000e-04  2.50052838e+00  3.77466469e+00  2.44560708e+00  2.44379153e+00 -3.35735698e-05 
 4.16400000e-04  2.50050145e+00  3.77708593e+00  2.44802013e+00  2.44616141e+00 -3.35562359e-05 
 4.21400000e-04  2.50047403e+00  3.77956035e+00  2.45048580e+00  2.44858578e+00 -3.35385145e-05 
 4.26400000e-04  2.50044614e+00  3.78208548e+00  2.45300164e+00  2.45106221e+00 -3.35204234e-05 
 4.31400000e-04  2.50041780e+00  3.78465881e+00  2.45556514e+00  2.45358823e+00 -3.35019806e-05 
 4.36400000e-04  2.50038906e+00  3.78727776e+00  2.45817374e+00  2.45616133e+00 -3.34832047e-05 
 4.41400000e-04  2.50035993e+00  3.78993972e+00  2.46082483e+00  2.45877892e+00 -3.34641144e-05 
 4.46400000e-04  2.50033045e+00  3.79264204e+00  2.46351578e+00  2.46143841e+00 -3.34447288e-05 
 4.51400000e-04  2.50030064e+00  3.79538203e+00  2.46624390e+00  2.46413715e+00 -3.34250673e-05 
 4.56400000e-04  2.50027053e+00  3.79815696e+00  2.46900647e+00  2.46687243e+00 -3.34051495e-05 
