 time            v(vin)          v(b3_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 4.21400000e-04  2.50047403e+00  3.78278215e+00  2.45342452e+00  2.45115708e+00  2.45000341e+00 -4.75113665e-05 
 4.26400000e-04  2.50044614e+00  3.78537699e+00  2.45602389e+00  2.45371249e+00  2.45253609e+00 -4.74926860e-05 
 4.31400000e-04  2.50041780e+00  3.78801673e+00  2.45866789e+00  2.45631486e+00  2.45511691e+00 -4.74736817e-05 
 4.36400000e-04  2.50038906e+00  3.79069875e+00  2.46135391e+00  2.45896158e+00  2.45774327e+00 -4.74543724e-05 
 4.41400000e-04  2.50035993e+00  3.79342036e+00  2.46407925e+00  2.46165001e+00  2.46041256e+00 -4.74347775e-05 
 4.46400000e-04  2.50033045e+00  3.79617887e+00  2.46684121e+00  2.46437748e+00  2.46312213e+00 -4.74149165e-05 
 4.51400000e-04  2.50030064e+00  3.79897151e+00  2.46963703e+00  2.46714127e+00  2.46586926e+00 -4.73948093e-05 
 4.56400000e-04  2.50027053e+00  3.80179552e+00  2.47246394e+00  2.46993862e+00  2.46865122e+00 -4.73744760e-05 
 4.61400000e-04  2.50024016e+00  3.80464809e+00  2.47531911e+00  2.47276676e+00  2.47146525e+00 -4.73539367e-05 
 4.66400000e-04  2.50020955e+00  3.80752637e+00  2.47819972e+00  2.47562287e+00  2.47430854e+00 -4.73332120e-05 
 4.71400000e-04  2.50017873e+00  3.81042751e+00  2.48110289e+00  2.47850410e+00  2.47717827e+00 -4.73123225e-05 
 4.76400000e-04  2.50014774e+00  3.81334862e+00  2.48402575e+00  2.48140761e+00  2.48007159e+00 -4.72912889e-05 
 4.81400000e-04  2.50011660e+00  3.81628681e+00  2.48696539e+00  2.48433049e+00  2.48298561e+00 -4.72701322e-05 
 4.86400000e-04  2.50008535e+00  3.81923917e+00  2.48991890e+00  2.48726986e+00  2.48591745e+00 -4.72488733e-05 
 4.91400000e-04  2.50005401e+00  3.82220276e+00  2.49288336e+00  2.49022280e+00  2.48886420e+00 -4.72275335e-05 
 4.96400000e-04  2.50002262e+00  3.82517466e+00  2.49585581e+00  2.49318638e+00  2.49182294e+00 -4.72061337e-05 
 5.01400000e-04  2.49999120e+00  3.82815191e+00  2.49883333e+00  2.49615766e+00  2.49479073e+00 -4.71846953e-05 
 5.06400000e-04  2.49995980e+00  3.83113157e+00  2.50181296e+00  2.49913371e+00  2.49776464e+00 -4.71632395e-05 
 5.11400000e-04  2.49992843e+00  3.83411070e+00  2.50479176e+00  2.50211158e+00  2.50074173e+00 -4.71417874e-05 
 5.16400000e-04  2.49989714e+00  3.83708636e+00  2.50776679e+00  2.50508832e+00  2.50371904e+00 -4.71203602e-05 
 5.21400000e-04  2.49986594e+00  3.84005559e+00  2.51073510e+00  2.50806099e+00  2.50669364e+00 -4.70989792e-05 
 5.26400000e-04  2.49983488e+00  3.84301549e+00  2.51369377e+00  2.51102666e+00  2.50966258e+00 -4.70776655e-05 
 5.31400000e-04  2.49980399e+00  3.84596312e+00  2.51663989e+00  2.51398241e+00  2.51262295e+00 -4.70564399e-05 
 5.36400000e-04  2.49977328e+00  3.84889558e+00  2.51957054e+00  2.51692531e+00  2.51557181e+00 -4.70353235e-05 
 5.41400000e-04  2.49974280e+00  3.85180999e+00  2.52248285e+00  2.51985247e+00  2.51850627e+00 -4.70143369e-05 
 5.46400000e-04  2.49971257e+00  3.85470348e+00  2.52537394e+00  2.52276101e+00  2.52142343e+00 -4.69935009e-05 
 5.51400000e-04  2.49968263e+00  3.85757320e+00  2.52824098e+00  2.52564807e+00  2.52432042e+00 -4.69728358e-05 
 5.56400000e-04  2.49965300e+00  3.86041634e+00  2.53108115e+00  2.52851081e+00  2.52719440e+00 -4.69523621e-05 
 5.61400000e-04  2.49962371e+00  3.86323010e+00  2.53389167e+00  2.53134641e+00  2.53004253e+00 -4.69320996e-05 
 5.66400000e-04  2.49959479e+00  3.86601172e+00  2.53666976e+00  2.53415209e+00  2.53286203e+00 -4.69120683e-05 
 5.71400000e-04  2.49956628e+00  3.86875849e+00  2.53941272e+00  2.53692510e+00  2.53565012e+00 -4.68922877e-05 
 5.76400000e-04  2.49953819e+00  3.87146770e+00  2.54211785e+00  2.53966273e+00  2.53840407e+00 -4.68727772e-05 
 5.81400000e-04  2.49951056e+00  3.87413670e+00  2.54478252e+00  2.54236228e+00  2.54112119e+00 -4.68535558e-05 
 5.86400000e-04  2.49948341e+00  3.87676290e+00  2.54740410e+00  2.54502113e+00  2.54379881e+00 -4.68346423e-05 
 5.91400000e-04  2.49945677e+00  3.87934371e+00  2.54998004e+00  2.54763667e+00  2.54643432e+00 -4.68160551e-05 
 5.96400000e-04  2.49943066e+00  3.88187662e+00  2.55250784e+00  2.55020634e+00  2.54902514e+00 -4.67978123e-05 
 6.01400000e-04  2.49940512e+00  3.88435917e+00  2.55498501e+00  2.55272764e+00  2.55156874e+00 -4.67799316e-05 
 6.06400000e-04  2.49938017e+00  3.88678892e+00  2.55740914e+00  2.55519811e+00  2.55406263e+00 -4.67624305e-05 
 6.11400000e-04  2.49935582e+00  3.88916352e+00  2.55977788e+00  2.55761533e+00  2.55650439e+00 -4.67453258e-05 
 6.16400000e-04  2.49933212e+00  3.89148065e+00  2.56208891e+00  2.55997696e+00  2.55889164e+00 -4.67286342e-05 
 6.21400000e-04  2.49930907e+00  3.89373806e+00  2.56434000e+00  2.56228069e+00  2.56122204e+00 -4.67123718e-05 
 6.26400000e-04  2.49928670e+00  3.89593355e+00  2.56652894e+00  2.56452429e+00  2.56349334e+00 -4.66965545e-05 
 6.31400000e-04  2.49926504e+00  3.89806499e+00  2.56865363e+00  2.56670557e+00  2.56570333e+00 -4.66811974e-05 
 6.36400000e-04  2.49924410e+00  3.90013031e+00  2.57071198e+00  2.56882241e+00  2.56784985e+00 -4.66663155e-05 
 6.41400000e-04  2.49922391e+00  3.90212751e+00  2.57270201e+00  2.57087277e+00  2.56993083e+00 -4.66519230e-05 
 6.46400000e-04  2.49920448e+00  3.90405466e+00  2.57462179e+00  2.57285465e+00  2.57194424e+00 -4.66380339e-05 
 6.51400000e-04  2.49918584e+00  3.90590988e+00  2.57646946e+00  2.57476612e+00  2.57388814e+00 -4.66246616e-05 
 6.56400000e-04  2.49916801e+00  3.90769139e+00  2.57824323e+00  2.57660535e+00  2.57576064e+00 -4.66118190e-05 
 6.61400000e-04  2.49915099e+00  3.90939745e+00  2.57994138e+00  2.57837055e+00  2.57755992e+00 -4.65995183e-05 
 6.66400000e-04  2.49913481e+00  3.91102642e+00  2.58156228e+00  2.58006000e+00  2.57928425e+00 -4.65877714e-05 
 6.71400000e-04  2.49911949e+00  3.91257672e+00  2.58310435e+00  2.58167209e+00  2.58093196e+00 -4.65765897e-05 
 6.76400000e-04  2.49910503e+00  3.91404686e+00  2.58456610e+00  2.58320525e+00  2.58250145e+00 -4.65659838e-05 
 6.81400000e-04  2.49909146e+00  3.91543542e+00  2.58594613e+00  2.58465799e+00  2.58399121e+00 -4.65559640e-05 
 6.86400000e-04  2.49907879e+00  3.91674105e+00  2.58724311e+00  2.58602892e+00  2.58539980e+00 -4.65465397e-05 
 6.91400000e-04  2.49906702e+00  3.91796251e+00  2.58845578e+00  2.58731672e+00  2.58672587e+00 -4.65377202e-05 
 6.96400000e-04  2.49905618e+00  3.91909860e+00  2.58958297e+00  2.58852014e+00  2.58796812e+00 -4.65295138e-05 
 7.01400000e-04  2.49904626e+00  3.92014824e+00  2.59062361e+00  2.58963803e+00  2.58912537e+00 -4.65219283e-05 
 7.06400000e-04  2.49903729e+00  3.92111042e+00  2.59157667e+00  2.59066930e+00  2.59019651e+00 -4.65149711e-05 
 7.11400000e-04  2.49902927e+00  3.92198421e+00  2.59244126e+00  2.59161296e+00  2.59118048e+00 -4.65086488e-05 
 7.16400000e-04  2.49902220e+00  3.92276877e+00  2.59321653e+00  2.59246810e+00  2.59207636e+00 -4.65029675e-05 
 7.21400000e-04  2.49901610e+00  3.92346334e+00  2.59390175e+00  2.59323391e+00  2.59288328e+00 -4.64979325e-05 
 7.26400000e-04  2.49901097e+00  3.92406725e+00  2.59449624e+00  2.59390964e+00  2.59360046e+00 -4.64935487e-05 
 7.31400000e-04  2.49900682e+00  3.92457993e+00  2.59499944e+00  2.59449464e+00  2.59422721e+00 -4.64898203e-05 
 7.36400000e-04  2.49900365e+00  3.92500088e+00  2.59541087e+00  2.59498835e+00  2.59476292e+00 -4.64867509e-05 
 7.41400000e-04  2.49900146e+00  3.92532969e+00  2.59573013e+00  2.59539030e+00  2.59520709e+00 -4.64843433e-05 
 7.46400000e-04  2.49900026e+00  3.92556605e+00  2.59595691e+00  2.59570010e+00  2.59555929e+00 -4.64825999e-05 
 7.51400000e-04  2.49900004e+00  3.92570973e+00  2.59609099e+00  2.59591744e+00  2.59581916e+00 -4.64815224e-05 
 7.56400000e-04  2.49900081e+00  3.92576060e+00  2.59613224e+00  2.59604213e+00  2.59598648e+00 -4.64811118e-05 
 7.61400000e-04  2.49900256e+00  3.92571860e+00  2.59608063e+00  2.59607404e+00  2.59606107e+00 -4.64813684e-05 
 7.66400000e-04  2.49900530e+00  3.92558377e+00  2.59593620e+00  2.59601314e+00  2.59604286e+00 -4.64822921e-05 
 7.71400000e-04  2.49900903e+00  3.92535624e+00  2.59569909e+00  2.59585948e+00  2.59593187e+00 -4.64838820e-05 
 7.76400000e-04  2.49901373e+00  3.92503623e+00  2.59536952e+00  2.59561322e+00  2.59572820e+00 -4.64861366e-05 
 7.81400000e-04  2.49901940e+00  3.92462405e+00  2.59494782e+00  2.59527458e+00  2.59543205e+00 -4.64890537e-05 
 7.86400000e-04  2.49902604e+00  3.92412008e+00  2.59443439e+00  2.59484390e+00  2.59504371e+00 -4.64926306e-05 
 7.91400000e-04  2.49903364e+00  3.92352482e+00  2.59382972e+00  2.59432159e+00  2.59456354e+00 -4.64968638e-05 
 7.96400000e-04  2.49904220e+00  3.92283884e+00  2.59313439e+00  2.59370815e+00  2.59399201e+00 -4.65017494e-05 
 8.01400000e-04  2.49905170e+00  3.92206279e+00  2.59234907e+00  2.59300417e+00  2.59332967e+00 -4.65072826e-05 
 8.06400000e-04  2.49906214e+00  3.92119742e+00  2.59147451e+00  2.59221032e+00  2.59257714e+00 -4.65134582e-05 
 8.11400000e-04  2.49907350e+00  3.92024357e+00  2.59051155e+00  2.59132736e+00  2.59173516e+00 -4.65202702e-05 
 8.16400000e-04  2.49908577e+00  3.91920214e+00  2.58946112e+00  2.59035615e+00  2.59080453e+00 -4.65277123e-05 
 8.21400000e-04  2.49909895e+00  3.91807414e+00  2.58832424e+00  2.58929762e+00  2.58978615e+00 -4.65357773e-05 
 8.26400000e-04  2.49911302e+00  3.91686066e+00  2.58710198e+00  2.58815279e+00  2.58868100e+00 -4.65444574e-05 
 8.31400000e-04  2.49912796e+00  3.91556286e+00  2.58579554e+00  2.58692276e+00  2.58749014e+00 -4.65537444e-05 
 8.36400000e-04  2.49914377e+00  3.91418200e+00  2.58440617e+00  2.58560871e+00  2.58621472e+00 -4.65636294e-05 
