 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 4.16400000e-04  2.50050145e+00  3.77965647e+00  2.45034232e+00  2.45000146e+00 -3.35345779e-05 
 4.21400000e-04  2.50047403e+00  3.78219191e+00  2.45288007e+00  2.45253249e+00 -3.35163407e-05 
 4.26400000e-04  2.50044614e+00  3.78477543e+00  2.45546560e+00  2.45511165e+00 -3.34977559e-05 
 4.31400000e-04  2.50041780e+00  3.78740446e+00  2.45809633e+00  2.45773636e+00 -3.34788422e-05 
 4.36400000e-04  2.50038906e+00  3.79007638e+00  2.46076963e+00  2.46040400e+00 -3.34596183e-05 
 4.41400000e-04  2.50035993e+00  3.79278851e+00  2.46348285e+00  2.46311192e+00 -3.34401037e-05 
 4.46400000e-04  2.50033045e+00  3.79553817e+00  2.46623327e+00  2.46585742e+00 -3.34203176e-05 
 4.51400000e-04  2.50030064e+00  3.79832260e+00  2.46901816e+00  2.46863776e+00 -3.34002800e-05 
 4.56400000e-04  2.50027053e+00  3.80113905e+00  2.47183475e+00  2.47145018e+00 -3.33800107e-05 
 4.61400000e-04  2.50024016e+00  3.80398470e+00  2.47468023e+00  2.47429187e+00 -3.33595300e-05 
 4.66400000e-04  2.50020955e+00  3.80685672e+00  2.47755178e+00  2.47716001e+00 -3.33388583e-05 
 4.71400000e-04  2.50017873e+00  3.80975228e+00  2.48044654e+00  2.48005176e+00 -3.33180162e-05 
 4.76400000e-04  2.50014774e+00  3.81266847e+00  2.48336164e+00  2.48296423e+00 -3.32970244e-05 
 4.81400000e-04  2.50011660e+00  3.81560243e+00  2.48629418e+00  2.48589454e+00 -3.32759037e-05 
 4.86400000e-04  2.50008535e+00  3.81855122e+00  2.48924125e+00  2.48883978e+00 -3.32546752e-05 
 4.91400000e-04  2.50005401e+00  3.82151193e+00  2.49219993e+00  2.49179703e+00 -3.32333599e-05 
 4.96400000e-04  2.50002262e+00  3.82448163e+00  2.49516729e+00  2.49476336e+00 -3.32119790e-05 
 5.01400000e-04  2.49999120e+00  3.82745737e+00  2.49814040e+00  2.49773582e+00 -3.31905536e-05 
 5.06400000e-04  2.49995980e+00  3.83043621e+00  2.50111630e+00  2.50071149e+00 -3.31691050e-05 
 5.11400000e-04  2.49992843e+00  3.83341521e+00  2.50409206e+00  2.50368742e+00 -3.31476543e-05 
 5.16400000e-04  2.49989714e+00  3.83639142e+00  2.50706474e+00  2.50666066e+00 -3.31262228e-05 
 5.21400000e-04  2.49986594e+00  3.83936189e+00  2.51003139e+00  2.50962828e+00 -3.31048316e-05 
 5.26400000e-04  2.49983488e+00  3.84232371e+00  2.51298910e+00  2.51258735e+00 -3.30835019e-05 
 5.31400000e-04  2.49980399e+00  3.84527395e+00  2.51593495e+00  2.51553495e+00 -3.30622546e-05 
 5.36400000e-04  2.49977328e+00  3.84820970e+00  2.51886602e+00  2.51846818e+00 -3.30411107e-05 
 5.41400000e-04  2.49974280e+00  3.85112807e+00  2.52177945e+00  2.52138415e+00 -3.30200910e-05 
 5.46400000e-04  2.49971257e+00  3.85402619e+00  2.52467235e+00  2.52427998e+00 -3.29992162e-05 
 5.51400000e-04  2.49968263e+00  3.85690122e+00  2.52754189e+00  2.52715284e+00 -3.29785068e-05 
 5.56400000e-04  2.49965300e+00  3.85975031e+00  2.53038524e+00  2.52999989e+00 -3.29579830e-05 
 5.61400000e-04  2.49962371e+00  3.86257069e+00  2.53319962e+00  2.53281835e+00 -3.29376650e-05 
 5.66400000e-04  2.49959479e+00  3.86535957e+00  2.53598226e+00  2.53560544e+00 -3.29175727e-05 
 5.71400000e-04  2.49956628e+00  3.86811424e+00  2.53873043e+00  2.53835844e+00 -3.28977257e-05 
 5.76400000e-04  2.49953819e+00  3.87083198e+00  2.54144145e+00  2.54107464e+00 -3.28781435e-05 
 5.81400000e-04  2.49951056e+00  3.87351014e+00  2.54411266e+00  2.54375139e+00 -3.28588452e-05 
 5.86400000e-04  2.49948341e+00  3.87614610e+00  2.54674144e+00  2.54638607e+00 -3.28398495e-05 
 5.91400000e-04  2.49945677e+00  3.87873729e+00  2.54932523e+00  2.54897611e+00 -3.28211751e-05 
 5.96400000e-04  2.49943066e+00  3.88128117e+00  2.55186151e+00  2.55151897e+00 -3.28028401e-05 
 6.01400000e-04  2.49940512e+00  3.88377526e+00  2.55434780e+00  2.55401218e+00 -3.27848622e-05 
 6.06400000e-04  2.49938017e+00  3.88621713e+00  2.55678167e+00  2.55645330e+00 -3.27672591e-05 
 6.11400000e-04  2.49935582e+00  3.88860439e+00  2.55916075e+00  2.55883995e+00 -3.27500478e-05 
 6.16400000e-04  2.49933212e+00  3.89093474e+00  2.56148274e+00  2.56116981e+00 -3.27332449e-05 
 6.21400000e-04  2.49930907e+00  3.89320590e+00  2.56374536e+00  2.56344062e+00 -3.27168668e-05 
 6.26400000e-04  2.49928670e+00  3.89541565e+00  2.56594642e+00  2.56565016e+00 -3.27009293e-05 
 6.31400000e-04  2.49926504e+00  3.89756186e+00  2.56808378e+00  2.56779629e+00 -3.26854479e-05 
 6.36400000e-04  2.49924410e+00  3.89964244e+00  2.57015537e+00  2.56987693e+00 -3.26704374e-05 
 6.41400000e-04  2.49922391e+00  3.90165538e+00  2.57215918e+00  2.57189005e+00 -3.26559125e-05 
 6.46400000e-04  2.49920448e+00  3.90359871e+00  2.57409326e+00  2.57383371e+00 -3.26418871e-05 
 6.51400000e-04  2.49918584e+00  3.90547057e+00  2.57595574e+00  2.57570602e+00 -3.26283746e-05 
 6.56400000e-04  2.49916801e+00  3.90726913e+00  2.57774481e+00  2.57750516e+00 -3.26153883e-05 
 6.61400000e-04  2.49915099e+00  3.90899265e+00  2.57945876e+00  2.57922941e+00 -3.26029404e-05 
 6.66400000e-04  2.49913481e+00  3.91063948e+00  2.58109591e+00  2.58087709e+00 -3.25910431e-05 
 6.71400000e-04  2.49911949e+00  3.91220802e+00  2.58265468e+00  2.58244660e+00 -3.25797077e-05 
 6.76400000e-04  2.49910503e+00  3.91369674e+00  2.58413358e+00  2.58393643e+00 -3.25689452e-05 
 6.81400000e-04  2.49909146e+00  3.91510423e+00  2.58553117e+00  2.58534515e+00 -3.25587659e-05 
 6.86400000e-04  2.49907879e+00  3.91642911e+00  2.58684611e+00  2.58667140e+00 -3.25491794e-05 
 6.91400000e-04  2.49906702e+00  3.91767011e+00  2.58807712e+00  2.58791388e+00 -3.25401951e-05 
 6.96400000e-04  2.49905618e+00  3.91882604e+00  2.58922303e+00  2.58907142e+00 -3.25318216e-05 
 7.01400000e-04  2.49904626e+00  3.91989577e+00  2.59028271e+00  2.59014288e+00 -3.25240668e-05 
 7.06400000e-04  2.49903729e+00  3.92087828e+00  2.59125517e+00  2.59112725e+00 -3.25169381e-05 
 7.11400000e-04  2.49902927e+00  3.92177263e+00  2.59213945e+00  2.59202357e+00 -3.25104425e-05 
 7.16400000e-04  2.49902220e+00  3.92257795e+00  2.59293471e+00  2.59283097e+00 -3.25045861e-05 
 7.21400000e-04  2.49901610e+00  3.92329347e+00  2.59364018e+00  2.59354869e+00 -3.24993745e-05 
 7.26400000e-04  2.49901097e+00  3.92391849e+00  2.59425518e+00  2.59417603e+00 -3.24948127e-05 
 7.31400000e-04  2.49900682e+00  3.92445242e+00  2.59477912e+00  2.59471238e+00 -3.24909051e-05 
