 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 5.26400000e-04  2.49983488e+00  3.84231012e+00  2.51361062e+00 -3.30835530e-05 
 5.31400000e-04  2.49980399e+00  3.84526064e+00  2.51655167e+00 -3.30623039e-05 
 5.36400000e-04  2.49977328e+00  3.84819668e+00  2.51947765e+00 -3.30411581e-05 
 5.41400000e-04  2.49974280e+00  3.85111534e+00  2.52238567e+00 -3.30201366e-05 
 5.46400000e-04  2.49971257e+00  3.85401376e+00  2.52527287e+00 -3.29992598e-05 
 5.51400000e-04  2.49968263e+00  3.85688908e+00  2.52813642e+00 -3.29785485e-05 
 5.56400000e-04  2.49965300e+00  3.85973848e+00  2.53097350e+00 -3.29580228e-05 
 5.61400000e-04  2.49962371e+00  3.86255916e+00  2.53378132e+00 -3.29377028e-05 
 5.66400000e-04  2.49959479e+00  3.86534836e+00  2.53655713e+00 -3.29176086e-05 
 5.71400000e-04  2.49956628e+00  3.86810335e+00  2.53929821e+00 -3.28977597e-05 
 5.76400000e-04  2.49953819e+00  3.87082141e+00  2.54200187e+00 -3.28781756e-05 
 5.81400000e-04  2.49951056e+00  3.87349990e+00  2.54466547e+00 -3.28588753e-05 
 5.86400000e-04  2.49948341e+00  3.87613619e+00  2.54728640e+00 -3.28398777e-05 
 5.91400000e-04  2.49945677e+00  3.87872770e+00  2.54986210e+00 -3.28212013e-05 
 5.96400000e-04  2.49943066e+00  3.88127191e+00  2.55239006e+00 -3.28028643e-05 
 6.01400000e-04  2.49940512e+00  3.88376634e+00  2.55486780e+00 -3.27848846e-05 
 6.06400000e-04  2.49938017e+00  3.88620854e+00  2.55729291e+00 -3.27672795e-05 
 6.11400000e-04  2.49935582e+00  3.88859615e+00  2.55966303e+00 -3.27500663e-05 
 6.16400000e-04  2.49933212e+00  3.89092683e+00  2.56197586e+00 -3.27332615e-05 
 6.21400000e-04  2.49930907e+00  3.89319833e+00  2.56422913e+00 -3.27168815e-05 
 6.26400000e-04  2.49928670e+00  3.89540842e+00  2.56642066e+00 -3.27009422e-05 
 6.31400000e-04  2.49926504e+00  3.89755497e+00  2.56854833e+00 -3.26854589e-05 
 6.36400000e-04  2.49924410e+00  3.89963589e+00  2.57061006e+00 -3.26704466e-05 
 6.41400000e-04  2.49922391e+00  3.90164917e+00  2.57260385e+00 -3.26559198e-05 
 6.46400000e-04  2.49920448e+00  3.90359284e+00  2.57452778e+00 -3.26418925e-05 
 6.51400000e-04  2.49918584e+00  3.90546503e+00  2.57637998e+00 -3.26283784e-05 
 6.56400000e-04  2.49916801e+00  3.90726393e+00  2.57815865e+00 -3.26153902e-05 
 6.61400000e-04  2.49915099e+00  3.90898779e+00  2.57986207e+00 -3.26029407e-05 
 6.66400000e-04  2.49913481e+00  3.91063494e+00  2.58148861e+00 -3.25910417e-05 
 6.71400000e-04  2.49911949e+00  3.91220381e+00  2.58303667e+00 -3.25797046e-05 
 6.76400000e-04  2.49910503e+00  3.91369286e+00  2.58450478e+00 -3.25689405e-05 
 6.81400000e-04  2.49909146e+00  3.91510067e+00  2.58589151e+00 -3.25587595e-05 
 6.86400000e-04  2.49907879e+00  3.91642587e+00  2.58719552e+00 -3.25491715e-05 
 6.91400000e-04  2.49906702e+00  3.91766718e+00  2.58841556e+00 -3.25401857e-05 
 6.96400000e-04  2.49905618e+00  3.91882342e+00  2.58955045e+00 -3.25318106e-05 
 7.01400000e-04  2.49904626e+00  3.91989346e+00  2.59059909e+00 -3.25240544e-05 
 7.06400000e-04  2.49903729e+00  3.92087628e+00  2.59156048e+00 -3.25169243e-05 
 7.11400000e-04  2.49902927e+00  3.92177092e+00  2.59243370e+00 -3.25104273e-05 
 7.16400000e-04  2.49902220e+00  3.92257653e+00  2.59321789e+00 -3.25045696e-05 
 7.21400000e-04  2.49901610e+00  3.92329233e+00  2.59391231e+00 -3.24993567e-05 
 7.26400000e-04  2.49901097e+00  3.92391764e+00  2.59451628e+00 -3.24947937e-05 
 7.31400000e-04  2.49900682e+00  3.92445185e+00  2.59502923e+00 -3.24908849e-05 
 7.36400000e-04  2.49900365e+00  3.92489444e+00  2.59545066e+00 -3.24876340e-05 
 7.41400000e-04  2.49900146e+00  3.92524499e+00  2.59578017e+00 -3.24850442e-05 
 7.46400000e-04  2.49900026e+00  3.92550317e+00  2.59601744e+00 -3.24831180e-05 
 7.51400000e-04  2.49900004e+00  3.92566872e+00  2.59616224e+00 -3.24818571e-05 
 7.56400000e-04  2.49900081e+00  3.92574149e+00  2.59621443e+00 -3.24812628e-05 
 7.61400000e-04  2.49900256e+00  3.92572140e+00  2.59617396e+00 -3.24813357e-05 
 7.66400000e-04  2.49900530e+00  3.92560847e+00  2.59604087e+00 -3.24820757e-05 
 7.71400000e-04  2.49900903e+00  3.92540282e+00  2.59581528e+00 -3.24834822e-05 
 7.76400000e-04  2.49901373e+00  3.92510463e+00  2.59549742e+00 -3.24855537e-05 
 7.81400000e-04  2.49901940e+00  3.92471419e+00  2.59508758e+00 -3.24882884e-05 
 7.86400000e-04  2.49902604e+00  3.92423189e+00  2.59458616e+00 -3.24916835e-05 
 7.91400000e-04  2.49903364e+00  3.92365817e+00  2.59399364e+00 -3.24957360e-05 
 7.96400000e-04  2.49904220e+00  3.92299359e+00  2.59331059e+00 -3.25004419e-05 
 8.01400000e-04  2.49905170e+00  3.92223880e+00  2.59253767e+00 -3.25057967e-05 
 8.06400000e-04  2.49906214e+00  3.92139450e+00  2.59167561e+00 -3.25117954e-05 
 8.11400000e-04  2.49907350e+00  3.92046152e+00  2.59072525e+00 -3.25184322e-05 
 8.16400000e-04  2.49908577e+00  3.91944076e+00  2.58968750e+00 -3.25257008e-05 
 8.21400000e-04  2.49909895e+00  3.91833319e+00  2.58856336e+00 -3.25335942e-05 
 8.26400000e-04  2.49911302e+00  3.91713988e+00  2.58735391e+00 -3.25421050e-05 
 8.31400000e-04  2.49912796e+00  3.91586198e+00  2.58606031e+00 -3.25512249e-05 
 8.36400000e-04  2.49914377e+00  3.91450071e+00  2.58468381e+00 -3.25609452e-05 
 8.41400000e-04  2.49916042e+00  3.91305740e+00  2.58322574e+00 -3.25712567e-05 
 8.46400000e-04  2.49917790e+00  3.91153344e+00  2.58168751e+00 -3.25821494e-05 
 8.51400000e-04  2.49919618e+00  3.90993029e+00  2.58007059e+00 -3.25936130e-05 
 8.56400000e-04  2.49921527e+00  3.90824950e+00  2.57837655e+00 -3.26056363e-05 
 8.61400000e-04  2.49923512e+00  3.90649269e+00  2.57660702e+00 -3.26182079e-05 
 8.66400000e-04  2.49925574e+00  3.90466157e+00  2.57476372e+00 -3.26313157e-05 
 8.71400000e-04  2.49927708e+00  3.90275791e+00  2.57284842e+00 -3.26449470e-05 
 8.76400000e-04  2.49929914e+00  3.90078354e+00  2.57086299e+00 -3.26590888e-05 
 8.81400000e-04  2.49932189e+00  3.89874038e+00  2.56880935e+00 -3.26737273e-05 
 8.86400000e-04  2.49934531e+00  3.89663042e+00  2.56668948e+00 -3.26888486e-05 
 8.91400000e-04  2.49936938e+00  3.89445569e+00  2.56450544e+00 -3.27044379e-05 
 8.96400000e-04  2.49939407e+00  3.89221831e+00  2.56225935e+00 -3.27204803e-05 
 9.01400000e-04  2.49941935e+00  3.88992045e+00  2.55995340e+00 -3.27369602e-05 
 9.06400000e-04  2.49944521e+00  3.88756435e+00  2.55758982e+00 -3.27538616e-05 
 9.11400000e-04  2.49947162e+00  3.88515230e+00  2.55517092e+00 -3.27711682e-05 
 9.16400000e-04  2.49949855e+00  3.88268664e+00  2.55269904e+00 -3.27888632e-05 
 9.21400000e-04  2.49952597e+00  3.88016978e+00  2.55017661e+00 -3.28069293e-05 
 9.26400000e-04  2.49955386e+00  3.87760417e+00  2.54760607e+00 -3.28253492e-05 
 9.31400000e-04  2.49958220e+00  3.87499232e+00  2.54498994e+00 -3.28441047e-05 
 9.36400000e-04  2.49961094e+00  3.87233678e+00  2.54233076e+00 -3.28631777e-05 
 9.41400000e-04  2.49964007e+00  3.86964015e+00  2.53963115e+00 -3.28825496e-05 
 9.46400000e-04  2.49966955e+00  3.86690505e+00  2.53689374e+00 -3.29022014e-05 
 9.51400000e-04  2.49969936e+00  3.86413417e+00  2.53412121e+00 -3.29221140e-05 
 9.56400000e-04  2.49972947e+00  3.86133023e+00  2.53131627e+00 -3.29422679e-05 
 9.61400000e-04  2.49975984e+00  3.85849597e+00  2.52848168e+00 -3.29626433e-05 
 9.66400000e-04  2.49979045e+00  3.85563417e+00  2.52562021e+00 -3.29832204e-05 
 9.71400000e-04  2.49982127e+00  3.85274765e+00  2.52273469e+00 -3.30039789e-05 
 9.76400000e-04  2.49985226e+00  3.84983924e+00  2.51982793e+00 -3.30248985e-05 
 9.81400000e-04  2.49988340e+00  3.84691180e+00  2.51690281e+00 -3.30459585e-05 
 9.86400000e-04  2.49991465e+00  3.84396821e+00  2.51396219e+00 -3.30671384e-05 
 9.91400000e-04  2.49994599e+00  3.84101138e+00  2.51100898e+00 -3.30884172e-05 
 9.96400000e-04  2.49997738e+00  3.83804421e+00  2.50804609e+00 -3.31097739e-05 
 1.00140000e-03  2.50000880e+00  3.83506963e+00  2.50507644e+00 -3.31311876e-05 
 1.00640000e-03  2.50004020e+00  3.83209058e+00  2.50210295e+00 -3.31526371e-05 
 1.01140000e-03  2.50007157e+00  3.82911000e+00  2.49912857e+00 -3.31741011e-05 
 1.01640000e-03  2.50010286e+00  3.82613085e+00  2.49615624e+00 -3.31955586e-05 
 1.02140000e-03  2.50013406e+00  3.82315605e+00  2.49318889e+00 -3.32169881e-05 
 1.02640000e-03  2.50016512e+00  3.82018856e+00  2.49022946e+00 -3.32383686e-05 
 1.03140000e-03  2.50019601e+00  3.81723132e+00  2.48728089e+00 -3.32596788e-05 
 1.03640000e-03  2.50022672e+00  3.81428726e+00  2.48434609e+00 -3.32808975e-05 
 1.04140000e-03  2.50025720e+00  3.81135930e+00  2.48142798e+00 -3.33020038e-05 
 1.04640000e-03  2.50028743e+00  3.80845033e+00  2.47852944e+00 -3.33229766e-05 
 1.05140000e-03  2.50031737e+00  3.80556326e+00  2.47565336e+00 -3.33437951e-05 
 1.05640000e-03  2.50034700e+00  3.80270094e+00  2.47280259e+00 -3.33644385e-05 
 1.06140000e-03  2.50037629e+00  3.79986623e+00  2.46997997e+00 -3.33848864e-05 
 1.06640000e-03  2.50040521e+00  3.79706194e+00  2.46718831e+00 -3.34051183e-05 
 1.07140000e-03  2.50043372e+00  3.79429086e+00  2.46443037e+00 -3.34251141e-05 
 1.07640000e-03  2.50046181e+00  3.79155575e+00  2.46170891e+00 -3.34448538e-05 
 1.08140000e-03  2.50048944e+00  3.78885933e+00  2.45902663e+00 -3.34643176e-05 
 1.08640000e-03  2.50051659e+00  3.78620430e+00  2.45638621e+00 -3.34834863e-05 
 1.09140000e-03  2.50054323e+00  3.78359329e+00  2.45379028e+00 -3.35023406e-05 
 1.09640000e-03  2.50056934e+00  3.78102892e+00  2.45124143e+00 -3.35208615e-05 
 1.10140000e-03  2.50059488e+00  3.77851373e+00  2.44874220e+00 -3.35390308e-05 
 1.10640000e-03  2.50061983e+00  3.77605024e+00  2.44629509e+00 -3.35568300e-05 
 1.11140000e-03  2.50064418e+00  3.77364092e+00  2.44390254e+00 -3.35742414e-05 
 1.11640000e-03  2.50066788e+00  3.77128816e+00  2.44156693e+00 -3.35912475e-05 
 1.12140000e-03  2.50069093e+00  3.76899432e+00  2.43929061e+00 -3.36078314e-05 
 1.12640000e-03  2.50071330e+00  3.76676169e+00  2.43707584e+00 -3.36239762e-05 
 1.13140000e-03  2.50073496e+00  3.76459250e+00  2.43492485e+00 -3.36396660e-05 
 1.13640000e-03  2.50075590e+00  3.76248893e+00  2.43283978e+00 -3.36548848e-05 
 1.14140000e-03  2.50077609e+00  3.76045307e+00  2.43082272e+00 -3.36696174e-05 
 1.14640000e-03  2.50079552e+00  3.75848697e+00  2.42887569e+00 -3.36838490e-05 
 1.15140000e-03  2.50081416e+00  3.75659260e+00  2.42700064e+00 -3.36975653e-05 
 1.15640000e-03  2.50083199e+00  3.75477185e+00  2.42519944e+00 -3.37107525e-05 
 1.16140000e-03  2.50084901e+00  3.75302654e+00  2.42347390e+00 -3.37233974e-05 
 1.16640000e-03  2.50086519e+00  3.75135842e+00  2.42182575e+00 -3.37354872e-05 
 1.17140000e-03  2.50088051e+00  3.74976917e+00  2.42025664e+00 -3.37470097e-05 
 1.17640000e-03  2.50089497e+00  3.74826038e+00  2.41876814e+00 -3.37579534e-05 
 1.18140000e-03  2.50090854e+00  3.74683356e+00  2.41736174e+00 -3.37683073e-05 
 1.18640000e-03  2.50092121e+00  3.74549014e+00  2.41603886e+00 -3.37780608e-05 
 1.19140000e-03  2.50093298e+00  3.74423147e+00  2.41480082e+00 -3.37872043e-05 
 1.19640000e-03  2.50094382e+00  3.74305881e+00  2.41364886e+00 -3.37957284e-05 
 1.20140000e-03  2.50095374e+00  3.74197333e+00  2.41258413e+00 -3.38036246e-05 
 1.20640000e-03  2.50096271e+00  3.74097613e+00  2.41160772e+00 -3.38108849e-05 
 1.21140000e-03  2.50097073e+00  3.74006821e+00  2.41072058e+00 -3.38175021e-05 
 1.21640000e-03  2.50097780e+00  3.73925047e+00  2.40992362e+00 -3.38234694e-05 
