 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 5.61400000e-04  2.49962371e+00  3.86258122e+00  2.53275318e+00 -3.29376218e-05 
 5.66400000e-04  2.49959479e+00  3.86537002e+00  2.53554107e+00 -3.29175297e-05 
 5.71400000e-04  2.49956628e+00  3.86812460e+00  2.53829470e+00 -3.28976829e-05 
 5.76400000e-04  2.49953819e+00  3.87084225e+00  2.54101137e+00 -3.28781009e-05 
 5.81400000e-04  2.49951056e+00  3.87352031e+00  2.54368842e+00 -3.28588028e-05 
 5.86400000e-04  2.49948341e+00  3.87615618e+00  2.54632323e+00 -3.28398074e-05 
 5.91400000e-04  2.49945677e+00  3.87874726e+00  2.54891323e+00 -3.28211332e-05 
 5.96400000e-04  2.49943066e+00  3.88129102e+00  2.55145589e+00 -3.28027984e-05 
 6.01400000e-04  2.49940512e+00  3.88378500e+00  2.55394872e+00 -3.27848209e-05 
 6.06400000e-04  2.49938017e+00  3.88622675e+00  2.55638930e+00 -3.27672181e-05 
 6.11400000e-04  2.49935582e+00  3.88861390e+00  2.55877525e+00 -3.27500071e-05 
 6.16400000e-04  2.49933212e+00  3.89094412e+00  2.56110425e+00 -3.27332046e-05 
 6.21400000e-04  2.49930907e+00  3.89321514e+00  2.56337402e+00 -3.27168269e-05 
 6.26400000e-04  2.49928670e+00  3.89542477e+00  2.56558237e+00 -3.27008898e-05 
 6.31400000e-04  2.49926504e+00  3.89757084e+00  2.56772715e+00 -3.26854087e-05 
 6.36400000e-04  2.49924410e+00  3.89965128e+00  2.56980628e+00 -3.26703987e-05 
 6.41400000e-04  2.49922391e+00  3.90166407e+00  2.57181773e+00 -3.26558742e-05 
 6.46400000e-04  2.49920448e+00  3.90360726e+00  2.57375956e+00 -3.26418492e-05 
 6.51400000e-04  2.49918584e+00  3.90547897e+00  2.57562989e+00 -3.26283372e-05 
 6.56400000e-04  2.49916801e+00  3.90727737e+00  2.57742691e+00 -3.26153513e-05 
 6.61400000e-04  2.49915099e+00  3.90900075e+00  2.57914888e+00 -3.26029040e-05 
 6.66400000e-04  2.49913481e+00  3.91064742e+00  2.58079413e+00 -3.25910072e-05 
 6.71400000e-04  2.49911949e+00  3.91221579e+00  2.58236108e+00 -3.25796723e-05 
 6.76400000e-04  2.49910503e+00  3.91370436e+00  2.58384820e+00 -3.25689103e-05 
 6.81400000e-04  2.49909146e+00  3.91511168e+00  2.58525407e+00 -3.25587315e-05 
 6.86400000e-04  2.49907879e+00  3.91643639e+00  2.58657733e+00 -3.25491456e-05 
 6.91400000e-04  2.49906702e+00  3.91767723e+00  2.58781670e+00 -3.25401619e-05 
 6.96400000e-04  2.49905618e+00  3.91883298e+00  2.58897099e+00 -3.25317889e-05 
 7.01400000e-04  2.49904626e+00  3.91990255e+00  2.59003908e+00 -3.25240346e-05 
 7.06400000e-04  2.49903729e+00  3.92088489e+00  2.59101994e+00 -3.25169066e-05 
 7.11400000e-04  2.49902927e+00  3.92177906e+00  2.59191264e+00 -3.25104116e-05 
 7.16400000e-04  2.49902220e+00  3.92258421e+00  2.59271631e+00 -3.25045558e-05 
 7.21400000e-04  2.49901610e+00  3.92329955e+00  2.59343018e+00 -3.24993448e-05 
 7.26400000e-04  2.49901097e+00  3.92392440e+00  2.59405356e+00 -3.24947836e-05 
 7.31400000e-04  2.49900682e+00  3.92445816e+00  2.59458585e+00 -3.24908766e-05 
 7.36400000e-04  2.49900365e+00  3.92490031e+00  2.59502654e+00 -3.24876275e-05 
 7.41400000e-04  2.49900146e+00  3.92525042e+00  2.59537521e+00 -3.24850394e-05 
 7.46400000e-04  2.49900026e+00  3.92550817e+00  2.59563151e+00 -3.24831149e-05 
 7.51400000e-04  2.49900004e+00  3.92567330e+00  2.59579521e+00 -3.24818556e-05 
 7.56400000e-04  2.49900081e+00  3.92574565e+00  2.59586614e+00 -3.24812629e-05 
 7.61400000e-04  2.49900256e+00  3.92572516e+00  2.59584424e+00 -3.24813374e-05 
 7.66400000e-04  2.49900530e+00  3.92561183e+00  2.59572952e+00 -3.24820789e-05 
 7.71400000e-04  2.49900903e+00  3.92540579e+00  2.59552210e+00 -3.24834867e-05 
 7.76400000e-04  2.49901373e+00  3.92510722e+00  2.59522217e+00 -3.24855596e-05 
 7.81400000e-04  2.49901940e+00  3.92471641e+00  2.59483003e+00 -3.24882956e-05 
 7.86400000e-04  2.49902604e+00  3.92423375e+00  2.59434604e+00 -3.24916920e-05 
 7.91400000e-04  2.49903364e+00  3.92365968e+00  2.59377068e+00 -3.24957457e-05 
